ems_id,monitoring_location,location_type,location_purpose,lat,lon,n_samples_catalogue,n_results_catalogue,first_sample,last_sample
E306805,#3 SAWMILL DUST MULTI-CYCLONE,29,3,54.386,-126.728,0,0,NA,NA
E307064,PELLET PLANT FURNISH CONVEYING,29,3,54.3859,-126.7275,0,0,NA,NA
E266925,TOPLEY REST AREA,33,8,54.5101,-126.31442,1,31,2008-05-21,2008-05-21
E221748,OPEN BURN - WOOD RESIDUE,34,3,54.4305,-126.6139,0,0,NA,NA
E219212,MR-8856 KNOCKHOLT LANDFILL REGULATED OPEN BURN PILE,34,3,54.439922,-126.529923,0,0,NA,NA
E221604,KILN-DRIED WOOD RESIDUE OPEN BURN AREA,34,3,54.3752,-126.7118,0,0,NA,NA
E229953,CANADIAN FOREST PRODUCTS( PA 15262) OPEN BURN,34,3,54.5,-126.66,0,0,NA,NA
E222978,OPEN BURN IN HOUSTON 14598,34,3,54.22462,-126.38293,0,0,NA,NA
E223933,HOUSTON FOREST PRODUCTS CO. (AA-14838);OPEN BURNING SITE,34,3,54.378,-126.711,0,0,NA,NA
E328714,Air Curtain Burner Discharge to Air,34,3,54.442831,-126.526395,0,0,NA,NA
E213183,HOUSTON-TRAILER PARK - EFFLUENT DISPOSAL,35,3,54.383333,-126.683333,0,0,NA,NA
E219211,MR-8856 KNOCKHOLT LANDFILL SEPTIC SLUDGE PIT,35,3,54.442321,-126.523247,0,0,NA,NA
E221105,OIL - WATER SEPARATOR - HOUSTON - BENZINE HOLDINGS,35,4,54.4,-126.7,0,0,NA,NA
E225343,CANFOR (PE-00299) BOILER SCRUBBER & PUMP COOL EFFLUENT,35,3,54.387,-126.723,0,0,NA,NA
E225344,NORTHWOOD PULP & TIMBER (PE-00299) AIR COMPRESSOR COOLING WATER DISCHARGE,35,3,54.387,-126.723,0,0,NA,NA
E235291,SHADY REST RV (PE-15737) RAPID EXFILTRATION BASINS,35,3,54.4144,-126.6317,0,0,NA,NA
E328713,Septage,35,3,54.492004,-126.52279,0,0,NA,NA
E209023,LUND CREEK DEV. PE05674 SEWAGE,36,3,54.3052,-126.2819,1,3,1998-06-11,1998-06-11
E209080,CANADIAN FOREST PRODUCTS (PE-00299) PACKAGE STP,36,3,54.3839,-126.7258,0,0,NA,NA
