site,replicate,sample_id,date,phylum,sub_phylum,class,order,family,subfamily,tribe,taxon,taxonomy,itis_code,voltinism,ffg,maturity,nd,count,pct_sampled,rep_num
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosomatidae,Glossosomatidae,117120,Unclassified,Scraper,Juvenile/Damaged,ND,3,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Leptophlebiidae,Leptophlebiidae,101095,Unclassified,Collector-Gatherer,Juvenile/Damaged,ND,21,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Heptageniidae,Heptageniidae,100504,Unclassified,Scraper,Juvenile/Damaged,NA,18,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerellidae,Ephemerellidae,101232,Unclassified,Collector-Gatherer,Juvenile/Damaged,ND,45,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Perlodidae,Perlodidae,102994,Unclassified,Predator,Juvenile/Damaged,ND,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Capniidae,NA,NA,Capniidae,Capniidae,102643,Unclassified,Shredder-Herbivore,Juvenile/Damaged,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Elmidae,Elmidae,114093,SV,Collector-Gatherer,Juvenile/Damaged,ND,6,5,3
BUL-01,C,BUL-01-C,2025-10-03,Mollusca,NA,Gastropoda,Basommatophora,Lymnaeidae,NA,NA,Lymnaeidae,Lymnaeidae,76483,NA,Scraper,Juvenile/Damaged,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Ephydridae,NA,NA,Ephydridae,Ephydridae,146893,NA,Shredder-Herbivore,Pupa,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,NA,NA,Chironomidae,Chironomidae,127917,NA,NA,Pupa,ND,6,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,Hydropsyche,115453,UV,Collector-Filterer,Larvae,NA,96,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,Cheumatopsyche,115408,Unclassified,Collector-Filterer,Larvae,NA,34,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Psychomyiidae,NA,NA,Psychomyia,Psychomyia,115335,Unclassified,Collector-Gatherer,Larvae,NA,5,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Lepidostomatidae,NA,NA,Lepidostoma,Lepidostoma,116794,UV,Shredder-Herbivore,Larvae,NA,8,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosoma,Glossosoma,117159,Unclassified,Scraper,Larvae,NA,2,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Baetis,Baetis,100800,MV,Collector-Gatherer,Juvenile/Damaged,NA,2,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Diphetor hageni,Diphetor hageni,568598,Unclassified,Collector-Gatherer,Larvae,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ameletidae,NA,NA,Ameletus,Ameletus,100996,UV,Collector-Gatherer,Larvae,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Neoleptophlebia,Neoleptophlebia,101095A,NA,Collector-Gatherer,Larvae,NA,50,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Rhithrogena,Rhithrogena,100572,Unclassified,Scraper,Larvae,NA,16,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,Ephemerella,101233,UV,Collector-Gatherer,Larvae,NA,16,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Hesperoperla,Hesperoperla,102971,Unclassified,Predator,Larvae,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Chloroperlidae,NA,NA,Haploperla,Haploperla,103260,Unclassified,Predator,Larvae,NA,2,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Chloroperlidae,NA,NA,Sweltsa,Sweltsa,103273,SV,Predator,Larvae,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Isoperla,Isoperla,102995,UV,Predator,Larvae,NA,14,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Pteronarcyidae,NA,NA,Pteronarcys,Pteronarcys,102471,Unclassified,Omnivore,Larvae,NA,3,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Feltriidae,NA,NA,Feltria,Feltria,83314,Unclassified,Predator,Adult,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,Lebertia,83034,Unclassified,Predator,Adult,NA,6,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hygrobatidae,NA,NA,Atractides,Atractides,83282,Unclassified,Predator,Adult,NA,3,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Sperchontidae,NA,NA,Sperchon,Sperchon,83006,Unclassified,Predator,Adult,NA,4,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Optioservus,Optioservus,114177,SV,Scraper,Larvae,NA,6,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Cleptelmis,Cleptelmis,114164,NA,Collector-Gatherer,Larvae,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Athericidae,NA,NA,Atherix,Atherix,130929,NA,Predator,Larvae,NA,1,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Tipulidae,NA,NA,Hexatoma,Hexatoma,120094,NA,Predator,Larvae,NA,2,5,3
BUL-01,C,BUL-01-C,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Empididae,NA,NA,Hemerodromia,Hemerodromia,136327,MV,Predator,Larvae,NA,2,5,3
BUL-01,C,BUL-01-C,2025-10-03,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,NA,NA,Nais,Nais,68946,NA,Collector-Gatherer,None,NA,24,5,3
BUL-01,C,BUL-01-C,2025-10-03,Annelida,Clitellata,Oligochaeta,Lumbriculida,Lumbriculidae,NA,NA,Lumbriculus,Lumbriculus,68441,NA,Collector-Gatherer,None,NA,24,5,3
