ems_id,monitoring_location,date,year,month,parameter,result,unit,method_detection_limit,result_letter
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1992-03-30,1992,3,pH,7.3,pH units,NA,NA
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1992-05-19,1992,5,Residue: Non-filterable (TSS),9,mg/L,NA,NA
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1987-08-04,1987,8,pH,8.1,pH units,NA,NA
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1991-07-08,1991,7,Residue: Non-filterable (TSS),6,mg/L,NA,NA
0700108,FOXY C UPSTREAM OF BRIDGE,1989-07-18,1989,7,pH,7.6,pH units,NA,NA
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1988-02-24,1988,2,pH,7.7,pH units,NA,NA
E206601,EQUITY SILVER DIVERSION POND TO BESSEMER CK,1993-05-31,1993,5,pH,7.1,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1996-10-21,1996,10,Oxygen Dissolved,2.5,mg/L,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1996-12-18,1996,12,pH,6.41,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1997-01-22,1997,1,Temperature,2,C,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1996-10-11,1996,10,pH,6.57,pH units,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1996-10-16,1996,10,Oxygen Dissolved,2.6,mg/L,NA,NA
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1996-07-22,1996,7,Specific Conductance,843,uS/cm,NA,NA
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1985-07-09,1985,7,Specific Conductance,110,uS/cm,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1980-06-13,1980,6,pH,7.5,pH units,NA,NA
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1981-06-02,1981,6,pH,7.5,pH units,NA,NA
