ems_id,monitoring_location,date,year,month,parameter,param_abb,result,unit,method_detection_limit,result_letter,below_detect,latitude,longitude
E294170,WQ E1 (GOOSLY LAKE TRIB),2014-05-14,2014,5,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.0026,mg/L,0.002,NA,FALSE,54.167388,-126.351261
E294172,WQ E3 (GOOSLY N FSR),2014-07-30,2014,7,Nitrogen - Nitrite Dissolved (NO2),no2,0.0033,mg/L,0.002,NA,FALSE,54.158409,-126.312419
E294170,WQ E1 (GOOSLY LAKE TRIB),2014-06-25,2014,6,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.0083,mg/L,0.002,NA,FALSE,54.167388,-126.351261
E294173,WQ E4 (47.5 PARROT FSR),2015-07-22,2015,7,Nitrogen Ammonia Dissolved,nh3,0.006,mg/L,0.005,NA,FALSE,54.142522,-126.268519
E294173,WQ E4 (47.5 PARROT FSR),2015-08-19,2015,8,Nitrogen Ammonia Dissolved,nh3,0.012,mg/L,0.005,NA,FALSE,54.142522,-126.268519
E294172,WQ E3 (GOOSLY N FSR),2015-10-22,2015,10,Nitrogen Kjel.Tot(N),tkn,0.24,mg/L,0.02,NA,FALSE,54.158409,-126.312419
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2016-07-25,2016,7,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
E294174,WQ E5 (ALLEN CR),2015-09-23,2015,9,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.0057,mg/L,0.002,NA,FALSE,54.1333,-126.157254
E285382,GOLDCORP EQUITY MINE (PE-04475) EMERGENCY POND DISCHARGE,2016-05-09,2016,5,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.11576,-126.1701
E294171,WQ E2 (PARROT FSR),2015-06-24,2015,6,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.0035,mg/L,0.002,NA,FALSE,54.158524,-126.313944
E294170,WQ E1 (GOOSLY LAKE TRIB),2015-05-28,2015,5,Phosphorus Ort.Dis-P,srp,0.0044,mg/L,0.001,NA,FALSE,54.167388,-126.351261
E307186,UBR D/S BULKLEY LAKE,2017-07-11,2017,7,Nitrate (NO3) Dissolved,no3,0.005,mg/L,0.005,<,TRUE,54.40307,-126.171
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,2019-05-13,2019,5,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1619,-126.2922
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2019-07-15,2019,7,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.033,mg/L,NA,<,TRUE,54.12127,-126.16326
E285576,GOLDCORP EQUITY SILVER (PE04475) HDS PLANT CLARIFIER OVERFLOW,2019-11-25,2019,11,Phosphorus Total Dissolved,tdp,0.6,mg/L,0.6,<,TRUE,54.11585,-126.16313
